,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
10,Atlético-MG,Lateral,Guilherme Arana,11.48,0.21,1.8,3.88,10,15,,,,,1.0,,,,8.0,,,,,2.0,,,,,2.0,,87228,282,2,0.0
11,Fortaleza,Meia,Yago Pikachu,9.72,-0.6,-0.7,5.08,12,15,,,,,,,,1.0,3.0,,,,,,,,,,1.0,,80196,356,4,0.0
12,Palmeiras,Goleiro,Weverton,10.28,-0.3,0.0,4.18,11,14,,,,,,,,,,,,,2.0,,,,,2.0,,,71631,275,1,0.0
13,Palmeiras,Zagueiro,Gustavo Gómez,15.25,-1.07,1.5,8.6,9,14,,,,,,1.0,,,7.0,,,,,3.0,,,,,3.0,1.0,71684,275,3,0.0
14,Ceará,Lateral,Nino Paraíba,6.02,-0.48,0.5,2.83,12,14,,,,,,2.0,,,11.0,,,,,1.0,,,,,2.0,,68808,354,2,0.0
15,Palmeiras,Atacante,Rony,12.86,2.07,11.6,6.39,13,14,1.0,,,1.0,,1.0,,,5.0,,,,,2.0,,,,,,,91607,275,5,0.0
16,Bragantino,Zagueiro,Léo Ortiz,10.91,0.08,3.0,5.34,7,14,,,,,,,,,6.0,,,,,3.0,,,,,,,97867,280,3,0.0
17,Flamengo,Lateral,Ayrton Lucas,7.5,0.54,6.3,5.04,10,14,,,,,,1.0,,,7.0,,1.0,,,2.0,,,,,3.0,,88393,262,2,0.0
18,São Paulo,Atacante,Calleri,24.56,-0.07,3.1,7.58,14,14,,,,,2.0,1.0,,,2.0,,,,,1.0,,,,,,,89840,276,5,0.0
19,Corinthians,Meia,Gustavo Mantuan,9.64,-0.29,2.1,4.76,12,14,,,,,1.0,2.0,,,6.0,,,,,1.0,,,,,1.0,,110270,264,4,0.0
20,Palmeiras,Meia,Zé Rafael,13.55,-0.72,3.0,6.17,12,14,,,,,,3.0,,,6.0,,,,,2.0,,,,,1.0,,82455,275,4,0.0
21,Flamengo,Técnico,Dorival Júnior,8.91,1.27,9.1,4.34,13,14,,,,,,,,,,,,,,,,,,,,,40990,262,6,0.0
22,Flamengo,Atacante,Gabriel,11.11,1.64,19.0,3.53,12,14,1.0,,1.0,2.0,1.0,,1.0,1.0,3.0,,,,,,,,,,1.0,,83257,262,5,19.0
23,Flamengo,Meia,Arrascaeta,19.88,1.95,13.4,8.9,10,14,1.0,,,,,4.0,,,12.0,1.0,,,,3.0,,,,,,,87863,262,4,0.0
24,Corinthians,Zagueiro,Raul Gustavo,8.5,1.1,7.1,5.08,11,13,,,,,,,,,3.0,,1.0,,,2.0,,,,,,,109389,264,3,0.0
25,Fluminense,Atacante,Cano,13.1,1.09,16.6,5.75,13,13,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,79631,266,5,16.6
26,Corinthians,Goleiro,Cássio,12.23,1.04,7.0,5.93,11,13,,,,,,,,,,,1.0,,2.0,,,,,,,,42234,264,1,0.0
